genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
beatlesque,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2,,The Beatles,84,artist,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,NA,25167061
british invasion,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2,,The Beatles,84,artist,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,NA,25167061
classic rock,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2,,The Beatles,84,artist,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,NA,25167061
merseybeat,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2,,The Beatles,84,artist,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,NA,25167061
psychedelic rock,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2,,The Beatles,84,artist,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,NA,25167061
rock,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2,,The Beatles,84,artist,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,NA,25167061
classic rock,https://api.spotify.com/v1/artists/44NX2ffIYHr6D4n7RaZF7A,44NX2ffIYHr6D4n7RaZF7A,,Van Morrison,73,artist,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A,NA,2807481
folk,https://api.spotify.com/v1/artists/44NX2ffIYHr6D4n7RaZF7A,44NX2ffIYHr6D4n7RaZF7A,,Van Morrison,73,artist,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A,NA,2807481
folk rock,https://api.spotify.com/v1/artists/44NX2ffIYHr6D4n7RaZF7A,44NX2ffIYHr6D4n7RaZF7A,,Van Morrison,73,artist,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A,NA,2807481
heartland rock,https://api.spotify.com/v1/artists/44NX2ffIYHr6D4n7RaZF7A,44NX2ffIYHr6D4n7RaZF7A,,Van Morrison,73,artist,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A,NA,2807481
mellow gold,https://api.spotify.com/v1/artists/44NX2ffIYHr6D4n7RaZF7A,44NX2ffIYHr6D4n7RaZF7A,,Van Morrison,73,artist,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A,NA,2807481
rock,https://api.spotify.com/v1/artists/44NX2ffIYHr6D4n7RaZF7A,44NX2ffIYHr6D4n7RaZF7A,,Van Morrison,73,artist,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A,NA,2807481
